,Gebiet,Total,Jahr
385,Kreis 5,13636,2013
386,Gewerbeschule,9626,2013
387,Escher Wyss,4010,2013
388,Kreis 6,32328,2013
389,Unterstrass,21876,2013
390,Oberstrass,10452,2013
391,Kreis 7,36116,2013
392,Fluntern,7856,2013
393,Hottingen,10708,2013
394,Hirslanden,7285,2013
395,Witikon,10267,2013
396,Kreis 8,15912,2013
397,Seefeld,4978,2013
398,Mühlebach,5912,2013
399,Weinegg,5022,2013
400,Kreis 9,50261,2013
401,Albisrieden,19146,2013
402,Altstetten,31115,2013
403,Kreis 10,37416,2013
404,Höngg,21581,2013
405,Wipkingen,15835,2013
406,Kreis 11,70748,2013
407,Affoltern,25082,2013
408,Oerlikon,21658,2013
409,Seebach,24008,2013
410,Kreis 12,29642,2013
411,Saatlen,7280,2013
412,Schwamendingen-Mitte,11209,2013
413,Hirzenbach,11153,2013
414,Kreis 1,5571,2012
415,Rathaus,3164,2012
416,Hochschulen,673,2012
417,Lindenhof,935,2012
418,City,799,2012
419,Kreis 2,30085,2012
420,Wollishofen,16029,2012
421,Leimbach,5354,2012
422,Enge,8702,2012
423,Kreis 3,47926,2012
424,Alt-Wiedikon,16109,2012
425,Friesenberg,10986,2012
426,Sihlfeld,20831,2012
427,Kreis 4,27749,2012
428,Werd,4195,2012
429,Langstrasse,10560,2012
430,Hard,12994,2012
431,Kreis 5,13167,2012
432,Gewerbeschule,9824,2012
433,Escher Wyss,3343,2012
434,Kreis 6,31750,2012
435,Unterstrass,21442,2012
436,Oberstrass,10308,2012
437,Kreis 7,35603,2012
438,Fluntern,7779,2012
439,Hottingen,10447,2012
440,Hirslanden,7131,2012
441,Witikon,10246,2012
442,Kreis 8,15444,2012
443,Seefeld,4916,2012
444,Mühlebach,5745,2012
445,Weinegg,4783,2012
446,Kreis 9,50437,2012
447,Albisrieden,18999,2012
448,Altstetten,31438,2012
449,Kreis 10,37328,2012
450,Höngg,21537,2012
451,Wipkingen,15791,2012
452,Kreis 11,69496,2012
453,Affoltern,24855,2012
454,Oerlikon,21331,2012
455,Seebach,23310,2012
456,Kreis 12,29456,2012
457,Saatlen,7118,2012
458,Schwamendingen-Mitte,10934,2012
459,Hirzenbach,11404,2012
460,Kreis 1,5550,2011
461,Rathaus,3140,2011
462,Hochschulen,681,2011
463,Lindenhof,950,2011
464,City,779,2011
465,Kreis 2,30079,2011
